Sample number	PH	EC	TDS	Na	K	Ca	Mg	NO3	PO4	CO3	HCO3	Cl	F	Error (%)
1	7.54	2870	1880	312.80	1.60	72.00	113.70	1.50	2.40	24.00	219.60	936.00	0.50	-7.25
2	7.80	4470	3070	536.00	46.00	48.00	105.00	7.40	0.60	0.00	451.40	1131.60	0.60	-5.13
3	7.64	1840	1210	391.00	32.00	56.00	88.50	0.40	1.30	0.00	366.00	617.00	0.50	8.83
4	7.88	970.00	640.00	179.40	5.90	44.00	35.00	0.70	0.80	0.00	307.40	229.00	0.50	6.15
5	7.63	1700	1120	184.00	0.60	60.00	65.60	0.10	0.40	0.00	196.40	427.00	0.50	3.76
6	7.53	980.00	640.00	65.86	0.40	64.00	52.50	3.80	0.80	0.00	213.50	199.00	0.50	6.15
7	7.48	750.00	490.00	80.20	7.80	60.00	45.00	7.60	0.40	0.00	234.00	179.00	0.40	6.96
8	7.68	1170	770.00	138.00	0.60	48.00	43.00	19.50	3.10	36.00	115.90	229.00	0.50	8.61
9	7.70	3510	2310	199.00	0.50	60.00	111.80	0.20	7.30	0.00	231.80	694.80	0.50	-5.88
10	7.64	1330	870.00	358.80	28.10	28.00	66.10	12.30	1.70	48.00	356.00	426.00	0.40	8.02
11	7.68	4020	2640	312.80	58.50	36.00	124.90	25.40	0.70	0.00	353.80	913.20	0.40	-8.11
12	7.25	810.00	530.00	70.15	9.90	44.00	3.90	5.40	1.30	0.00	312.00	29.80	0.50	-2.57
13	7.26	530.00	340.00	76.00	1.20	36.00	30.10	3.20	3.10	0.00	364.20	69.50	0.50	-2.97
14	7.55	3190	2100	17.48	0.30	108.00	101.00	1.80	0.30	0.00	244.00	456.40	0.20	-7.40
15	7.60	2020	1330	161.00	1.40	52.00	86.00	0.30	0.80	0.00	268.40	376.00	0.40	5.53
16	7.46	1460	960.00	138.00	46.80	36.00	66.60	0.10	0.60	0.00	246.80	286.50	0.50	8.94
17	7.67	2910	1910	75.90	0.60	44.00	113.20	18.70	0.80	0.00	268.40	466.50	0.30	-9.25
18	7.69	4620	3160	659.74	0.10	32.00	93.00	27.60	0.50	0.00	36.60	1081.90	0.50	9.04
19	7.75	3810	2500	531.10	19.50	64.00	52.50	1.30	0.40	24.00	250.10	843.70	0.40	4.07
20	7.72	1770	1180	133.40	1.60	32.00	26.20	4.20	2.10	24.00	213.50	129.00	0.40	8.56
21	7.62	1620	1070	147.20	1.60	28.00	57.00	0.30	0.30	0.00	256.20	248.20	0.50	5.70
22	7.62	1010	660.00	61.27	1.00	36.00	29.00	0.10	2.30	54.00	115.90	89.30	0.40	4.57
23	7.52	3560	2340	598.00	95.20	72.00	78.30	82.60	1.20	0.00	445.30	804.00	0.30	9.56
24	7.62	1430	940.00	239.20	19.90	28.00	43.40	1.80	0.20	0.00	164.70	467.00	0.40	0.02
25	7.80	3860	2530	184.00	49.90	64.00	140.00	0.10	2.20	0.00	250.10	704.70	0.50	0.22
26	7.75	3950	2590	285.20	50.70	68.00	170.60	68.20	1.20	0.00	555.10	684.90	0.50	2.20
27	7.62	6300	4120	487.60	78.00	96.00	236.70	40.10	17.00	0.00	207.40	1340	0.50	5.75
28	7.58	970.00	640.00	896.00	101.40	40.00	75.30	13.50	0.70	0.00	329.40	1299	0.50	8.13
29	7.50	1100	720.00	24.15	0.20	40.00	70.50	0.10	1.40	0.00	366.00	139.00	0.50	-5.57
30	7.54	780.00	510.00	119.60	24.00	28.00	14.40	0.10	0.10	0.00	140.30	219.60	0.50	-0.60
31	8.20	2660.00	1740.00	404.80	11.10	32.00	45.70	0.10	0.50	12.00	329.40	526.10	0.60	5.97
32	7.80	910.00	590.00	847.00	201.20	40.00	45.00	0.10	0.70	0.00	353.80	1201.00	0.40	9.22
33	7.53	3200.00	2100.00	119.60	0.60	64.00	169.10	8.90	0.50	0.00	457.50	536.00	0.40	-0.72
34	7.69	5600.00	3880.00	692.00	25.70	44.00	91.40	0.40	9.40	0.00	219.60	1191.10	0.40	4.00
35	7.43	530.00	340.00	154.10	0.60	52.00	38.40	0.10	4.60	0.00	250.10	239.00	0.40	6.52
36	7.53	1310.00	860.00	179.50	0.10	28.00	19.90	11.90	0.40	30.00	164.70	188.60	0.30	7.74
37	7.78	2420.00	1580.00	124.50	4.10	36.00	64.20	2.20	0.80	0.00	152.50	387.10	0.30	-3.15
38	7.95	890.00	580.00	68.93	0.50	32.00	48.10	3.30	0.60	0.00	250.10	199.00	0.80	-6.61
39	7.77	1120.00	740.00	138.00	3.50	32.00	45.70	0.10	0.60	0.00	250.10	196.50	0.50	8.58
40	7.88	1300.00	850.00	145.52	10.90	36.00	53.30	0.80	0.30	0.00	335.50	186.70	0.40	8.63
41	7.50	1120.00	730.00	144.90	13.10	32.00	63.20	0.10	0.20	0.00	274.50	239.50	0.30	9.01
42	7.93	2170.00	1420.00	171.30	3.60	32.00	60.30	11.40	0.20	0.00	359.90	337.50	0.40	-5.10
43	8.10	2190.00	1440.00	368.00	0.80	24.00	47.60	0.10	0.40	30.00	475.80	415.00	0.60	1.56
44	7.50	1630.00	1040.00	108.10	1.80	28.00	95.30	0.10	0.20	18.00	640.50	188.60	0.40	-7.71
45	7.59	4120.00	2840.00	279.15	22.80	56.00	168.60	81.80	0.30	0.00	280.60	764.30	0.50	2.76
46	7.62	1050.00	690.00	24.15	1.00	44.00	69.50	10.30	0.10	0.00	323.30	109.20	0.50	2.45
47	7.47	1880.00	1230.00	135.70	0.10	40.00	67.20	0.10	0.40	0.00	207.40	307.70	0.40	5.47
